Text.Chunk,Agent.Label,Agent.Score,Sentiment.Label,Sentiment.Score,Report,Human Label
"The Bank’s stress-testing framework assesses whether banks hold enough capital to withstand a severe stress and continue to lend to the real economy. The ‘annual cyclical scenario’ includes sharp falls in house prices (eg a 33% fall in the 2017 scenario). These stress scenarios are more severe if risks from the housing and mortgage market are judged to have increased, other things equal.(3) And, for a given macroeconomic shock, losses in the stress test will increase with the riskiness of lenders’ portfolios (eg due to more high LTV lending). Taken together, this leads to a countercyclical capitalisation of the banks, strengthening their resilience against risks from the mortgage market.",Financial Sector,0.959831655,negative,0.882578969,2017_1.docx,none
"Debt positions remain vulnerable to a further rise in government borrowing costs or a weakening in growth prospects, perhaps associated with a reduction in global trade. For example, government yields in Italy and Portugal rose sharply following the US election, though currently remain well below levels observed in 2011–13, when previous concerns over debt sustainability surfaced (Chart A.6). There is also a risk that the Italian constitutional referendum and a number of forthcoming general elections could increase uncertainty and put further upwards pressure on bond yields.",Government,0.789453328,negative,0.983073652,2016_2.docx,negative
"UK banks start the test with just under half of their total exposures to borrowers outside the United Kingdom. The three most significant areas are Hong Kong and China (13% of total exposures), the euro area (9%) and the United States (7%). Of these, the US has the highest five-year impairment rate for both lending to businesses and individuals, at 7.1% and 20.5% respectively (Chart A.8). The former reflects UK banks’ exposure to US companies involved in the oil and gas industry, which are particularly adversely affected by the stress scenario. The latter is driven by the fact that participating banks’ lending in the US is weighted towards consumer credit, which typically has higher loss rates than mortgage lending.",Financial Sector,0.965844989,negative,0.972575903,2018_2.docx,negative
"The FPC continues to judge that, in aggregate, the UK household and corporate sectors are likely to remain broadly resilient to the current economic outlook, including high interest rates.",Financial Sector,0.503497005,positive,0.880032778,2024_1.docx,positive
"Growth in UK bank lending to the UK household sector has continued to slow in parallel with a sharp increase in write-off rates on unsecured lending. But growth in lending to the corporate sector remains strong, in particular to UK commercial property companies. The major UK banks are also continuing to increase their participation in the syndicated loan market and are increasingly reliant on wholesale sources of funding. This leaves them more vulnerable to falls in market liquidity. They maintain large exposures to large complex financial institutions (LCFIs), whose profitability has increased because of record trading revenues.",Financial Sector,0.969034851,positive,0.613948226,2006_1.docx,negative
"The global macroeconomy can affect financial stability, for example through its impact on borrower resilience. And uncertainty around the global outlook for growth and inflation can lead to more volatile financial markets, potentially amplifying vulnerabilities in MBF.",Financial Sector,0.975634515,negative,0.982978165,2024_2.docx,negative
Traffic refers to chargeable FIN messages.,Firms,0.435108185,positive,0.636744976,2006_1.docx,none
Jan.  Apr.  July  Oct.  Jan.  Apr.  July  Oct.  Jan.  Apr.,Firms,0.528819084,positive,0.724360406,2009_1.docx,none
"Due to data limitations, no data are shown for Germany from 1915 to 1946.",Firms,0.377385706,negative,0.927492023,2010_2.docx,none
Prior to 1970 published accounts understated the true level of banks’ capital because they did not include hidden reserves. The solid line adjusts for this. 2009 observation is from H1.,Financial Sector,0.977704525,negative,0.894278824,2009_2.docx,none
"Traditionally, these activities were performed by banks and core payment systems. But as innovation introduces more actors in the processing of each transaction, some payment chains are becoming ‘unbundled’, with a wider range of firms providing each link in the payment chain.",Financial Sector,0.962700665,positive,0.828934073,2019_2.docx,positive
Includes funding to banks and banks’ ABCP conduits.,Financial Sector,0.977463126,positive,0.808684826,2010_2.docx,none
"Impact on the direct exposures of international banks and other LCFIs to the Russian government, corporates and banks.",Financial Sector,0.973248184,negative,0.914800107,2006_1.docx,negative
"Several vulnerable euro-area countries remain some distance from achieving the primary surpluses necessary to restore public debt to GDP ratios to a sustainable path (Chart 3.4). This has amplified fears that certain euro-area countries may be unable to achieve the size and speed of required adjustment in the face of a weakening economic environment. Even where underlying competitiveness and fiscal sustainability issues are being tackled, banking systems remain troubled. Banking system resilience has been undermined by sovereign concerns in some countries. In other cases, underlying competitiveness problems translated into overstretched banking sector balance sheets which then led to sovereign debt concerns.",Financial Sector,0.868139565,negative,0.982554495,2012_1.docx,negative
"Chart A.35 shows the gap between the private non-financial sector credit to GDP ratio and its long-term trend in the United Kingdom. This gap forms the basis for the Basel ‘buffer guide’ to setting the countercyclical capital buffer (CCyB) rate. According to this guide, the CCyB rate should be set at 0% given that the credit to GDP gap remains very negative.",Financial Sector,0.969918847,negative,0.906168759,2015_2.docx,negative
The CET1 ratio aggregate low point is in year 2. The Tier 1 leverage ratio aggregate low point is in year 1.,Financial Sector,0.924075127,negative,0.940966189,2019_2.docx,none
"Advanced economies included are: Australia, Canada, Denmark, euro area, Japan, Sweden, Switzerland, the United Kingdom and the United States.",Firms,0.933460295,positive,0.898794591,2012_1.docx,none
"Globally, leveraged loan issuance fell and default rates have increased over the past year (see Section 4). In 2022 Q4, major UK banks active in leverage lending markets had global holdings worth around 12% of their corporate loan book in aggregate (around 64% of CET1 capital). UK banks also have small indirect exposures (amounting to £9 billion at 2022 Q2) through their holdings of collateralised loan obligations. The 2022/23 ACS stress test captures risks to major UK banks from leveraged lending. In the stress test scenario, the five-year impairment rate for UK, US and Europe was 10.5%. By comparison, actual aggregate impairment rates on US and European leveraged loans in the GFC were 8%.",Financial Sector,0.97540164,negative,0.97303468,2023_1.docx,negative
"Historical episodes of high capital flows have been associated with rapid domestic credit growth and increases in asset prices, which have often then corrected suddenly.",Financial Sector,0.947591305,positive,0.87101084,2011_1.docx,negative
"Interest rate shocks could also be amplified as a result of initial or variation margin requirements on centrally cleared derivative or repo positions. A rise in interest rates could lead to substantial changes in the mark-to-market value of these positions, which would require some counterparties to post additional collateral. If this placed pressure on clearing members’ liquidity, they could be forced to reduce or reprice clients’ credit lines, which could transmit the shock to other financial institutions.",Financial Sector,0.976983488,negative,0.965361357,2013_2.docx,negative
"Despite inevitable short-term costs, there is a strong case for banks acting now to improve balance sheet positions while conditions are favourable. Retaining a higher share of current buoyant earnings could significantly increase banks’ resilience and ability to lend. If discretionary distributions had been 20% lower per year between 2000 and 2008, banks would have generated around £75 billion of additional capital — more than provided by the public sector during the crisis. It is also an opportune time for banks to raise capital externally, extend the maturity of their funding, and develop and implement plans for refinancing substantial sums as official sector support is withdrawn.",Financial Sector,0.978259444,positive,0.812205672,2009_2.docx,positive
A large share of leveraged loans are packaged into securities sold as CLOs. Global investor demand for CLOs has helped fuel demand for underlying leveraged loans (Chart A.21).,Financial Sector,0.958097875,positive,0.753828049,2018_1.docx,none
"Indirect exposures via holdings of asset-backed securities in banks’ liquid asset buffers — around £1 billion, less than 0.5% of CET1.",Financial Sector,0.979196966,negative,0.923346341,2017_1.docx,none
"The FPC’s assessment focused on single-currency OTC interest rate derivatives — the largest class of derivatives globally by outstanding market value. Box 5 contains further details on non-banks’ use of gilt repo borrowing, sterling interest rate swaps, CDS and sterling FX forwards.",Financial Sector,0.950560153,negative,0.872012019,2018_2.docx,none
"The improvement in global financial market conditions during much of the period appeared to be underpinned by more positive perceptions of market liquidity. While a survey measure of perceptions of liquidity reached its highest level since mid-2007 (Chart 1.16), possible indicators of future liquidity — such as turnover in investment-grade corporate bonds and equities and estimates of bid-ask spreads — suggested that actual liquidity had not improved materially. In addition, market contacts suggest dealers’ inventories are low in a number of markets, partly due to changes in regulation.",Financial Sector,0.975710869,positive,0.760232866,2013_1.docx,positive
"There is currently no single standardised measure of synthetic leverage reported consistently across funds, which prevents the FPC from making a holistic assessment of risks in this area. Efforts are, however, under way to address data gaps in the area of leverage.",Financial Sector,0.972934484,negative,0.940629601,2015_2.docx,negative
"But the growth of high-frequency trading, and the more recent structural developments described above, have a number of implications for financial stability more broadly.",Financial Sector,0.970823228,negative,0.973720372,2017_2.docx,negative
"Aug.	Feb.	Nov.	Feb.",Firms,0.404162526,positive,0.629476786,2008_1.docx,none
"In anticipation of rules mandating the central clearing of certain OTCD in the United States and the EU becoming effective from 2013, volumes of trades submitted for clearing by clearing members on behalf of their clients have increased (Chart A). But client clearing volume in OTCD such as IRS and CDS generally remains low in absolute terms. The outstanding size of inter-dealer trades cleared by LCH.Clearnet Ltd, the largest IRS CCP, is more than 100 times higher than client transactions cleared. Some commentators have expressed concern about the readiness of many clients for the start of mandatory clearing; and about the operational capacity of clearing members to accept all clients that require access to central clearing.",Financial Sector,0.941660583,negative,0.878799975,2012_2.docx,negative
"Proportion of the variation in exponentially weighted daily changes in credit default swap premia for the most senior tranche of the ABX.HE 2006 H1, CMBX.NA series 1 and CDX.NA explained by the first principal component over a three-month rolling window.",Financial Sector,0.902899206,negative,0.902776539,2008_1.docx,none
"This dynamic has changed during the pandemic. House prices in the UK grew at their fastest annual rate since the global financial crisis in recent months, and significantly more quickly than household income. Deposit requirements also increased materially as lenders withdrew more products at higher LTV ratios at the start of the pandemic. These factors contributed to the share of first-time buyers falling during the pandemic. The availability of high LTV products has partly recovered, supported by the Government’s mortgage guarantee scheme, but the share of first-time buyers has not yet returned to its pre-pandemic levels.",Households,0.666284323,negative,0.958055139,2021_2.docx,negative
"Levied by US authorities, the FSA/FCA and the European Commission.",Financial Sector,0.852601767,negative,0.92645824,2015_1.docx,none
Chinese private non‑financial sector debt is over 200% of GDP. The gap between credit growth and nominal GDP growth has increased a little since end‑2018.,Financial Sector,0.882567465,negative,0.968044519,2019_2.docx,negative
Consider whether macroprudential tools for market-based finance might be needed to address systemic risks originating from outside the banking system.,Financial Sector,0.976512074,negative,0.927152634,2017_1.docx,negative
Higher interest rates are impacting more households as fixed-rate mortgage deals expire.,Households,0.87684834,negative,0.965105891,2023_1.docx,negative
Jan. Apr.  July Oct. Jan. Apr.  July Oct. Jan. Apr.,Firms,0.49524492,positive,0.643942177,2012_1.docx,none
"Implied liquidity risk premia are estimated using a Merton model as in Leland, H and Toft, K (1996), ‘Optimal capital structure, endogenous bankruptcy, and the term structure of credit spreads’, Journal of Finance, Vol. 51, pages 987–1,019, by decomposing corporate bond spreads.",Financial Sector,0.949257314,negative,0.90029794,2014_2.docx,none
UK banks’ net interest margins (Chart 3.12). Concerns over the outlook for global growth have led markets to expect a prolonged period of near-zero risk-free interest rates. This means that the drag on banks’ net interest margins from this effect might last for longer than previously expected.,Financial Sector,0.976779163,negative,0.961475253,2011_2.docx,negative
Northern Rock and Bradford and Bingley are excluded in 2008 and 2009 H1.,Firms,0.606775701,negative,0.907238066,2009_2.docx,none
Outstanding domestic and international debt securities on a residency basis. Domestic debt securities data for India and Saudi Arabia are not available.,Financial Sector,0.727558613,negative,0.906515896,2015_1.docx,none
