Text.Chunk,Agent.Label,Agent.Score,Sentiment.Label,Sentiment.Score,Report,Human.Label
"The ability and willingness of banks to continue to lend as the economic outlook improves and government support schemes end will be necessary for a robust recovery. The FPC judges banks to have sufficient resources to support lending. As covered in Section 1, banks are re-entering the high loan to value mortgage market, though on the corporate side have a more selective appetite for lending to sectors most affected by the pandemic. Supervisory intelligence suggests banks are offering the Pay As You Grow7 options of the Bounce Back Loan Scheme (BBLS), and are working constructively with distressed business borrowers to support repayment of loans. However, many of the loans issued under BBLS are relatively high risk and it will be important to monitor default levels as repayments data begins to come in. It remains the FPC’s judgement that it is in banks’ collective interest to continue to support viable, productive businesses rather than to seek to defend capital ratios and avoid using buffers by cutting lending.",Financial Sector,0.964722872,positive,0.65427196,2021_1.docx,negative
Cutting support to the economy to avoid the use of capital buffers would be costly for the wider economy and consequently for the banks themselves.,Financial Sector,0.976968825,negative,0.968797326,2020_2.docx,negative
Households reporting that they find unsecured debt repayments to be a heavy burden or that they have difficulty with mortgage payments.,Households,0.882247448,negative,0.961643755,2017_2.docx,negative
"Cross-border financing within the euro area continued to fall — referred to as a ‘fragmentation’ of the euro-area banking system (Box 1). That was reflected in continued non-resident deposit outflows from the vulnerable euro-area countries. And domestic deposit outflows continued in Portugal and Spain, although domestic deposits increased in Greece, Ireland and Italy in the three months to September.",Financial Sector,0.972896695,negative,0.982819498,2012_2.docx,negative
"The EU-wide stress scenario seeks to explore risks that have been identified by the European Systemic Risk Board as representing the most pertinent threats to the stability of the EU banking system as a whole. These include: an increase in global bond yields; further deterioration in credit quality in countries with feeble demand; the risk of stalling policy reforms, raising renewed concerns over the sustainability of public finances; and a lack of necessary bank balance sheet repair.",Financial Sector,0.97336483,negative,0.974636793,2014_1.docx,none
"The Committee on the Global Financial System study group on repo market functioning also found that regulatory changes, which have made intermediation more costly in terms of regulatory capital, contributed to banks being less willing to undertake repo intermediation. See ‘Repo market functioning’. Report prepared by a Study Group established by the Committee on the Global Financial System, April 2017.",Financial Sector,0.974341273,negative,0.957599521,2019_2.docx,negative
"International Monetary Fund (2018), Global Financial Stability Report, October and Bridges, J, Jackson, C and McGregor, D (2017), ‘Down in the slumps: the role of credit in five decades of recessions’, Bank of England Staff Working Paper No. 659.",Central Bank,0.51363492,negative,0.908961177,2018_2.docx,none
"Euro-area sovereign risk concerns were heightened… Sovereign risk concerns in some euro-area countries have intensified over the period since the December 2011 Report (Chart 1.1). The cost of default protection on sovereign debt, as measured by credit default swaps (CDS), reached record highs in Spain. Spreads of Spanish bonds over German bunds widened from already high levels and spreads remained elevated in a number of other euro-area countries (Chart 1.2). Meanwhile, the euro depreciated by 5% on a trade-weighted basis as concerns about a disorderly resolution of euro-area tensions increased (Chart 1.3).",Financial Sector,0.874118805,negative,0.98087883,2012_1.docx,negative
"Domestically, the FCA has an ongoing review of liquidity mismatch in open‑ended funds. The FCA published a consultation paper in October 2018 proposing reforms to open‑ended funds investing in illiquid assets, such as CRE.",Financial Sector,0.963413954,negative,0.933289826,2019_1.docx,none
"Board issued a warning about pockets of vulnerability in the EU financial system, including risks that could be associated with a sharp adjustment in EU house prices.",Financial Sector,0.967105567,negative,0.972135425,2022_2.docx,negative
"In May, the FPC judged that banks had buffers of capital that were more than sufficient to absorb the cumulative losses under the illustrative economic scenario set out in the May 2020 Monetary Policy Report (MPR) which, under prudent assumptions, generated credit losses of just over £80 billion.",Financial Sector,0.978782773,negative,0.903768659,2020_1.docx,positive
"S&P	Revised outlooks for eleven EU banks to Negative from Stable, including three G-SIBs, in April.",Financial Sector,0.961573243,negative,0.927968323,2014_1.docx,none
"Under EU law, EEA countries will be mandated to reciprocate each other’s CCB rates from 2016. UK legislation in force since May 2014, however, allows the FPC to reciprocate before that date. Given the potential benefits of reciprocation, the Committee decided in September 2014 to consider reciprocation with immediate effect. While such decisions are made on an individual basis, in most cases reciprocation would enhance UK financial stability and therefore the FPC expects to reciprocate foreign CCB rates.",Financial Sector,0.943938017,positive,0.771952808,2014_2.docx,positive
"Following market tensions in May, Italian government bond yields rose again in October (Chart G.4), to their highest levels since early 2014. The rise was linked to the new Italian government’s publication of a draft budget, which envisaged a fiscal loosening, reversing the previous tightening policy. If implemented, this would have adverse implications for Italian public debt, which, at 130% of GDP, is already high.",Government,0.884898365,negative,0.958842695,2018_2.docx,negative
"The FPC recognised that there were limits to the extent to which financial regulators in any given jurisdiction could mitigate the risks posed by certain CTPs, such as CSPs.",Financial Sector,0.97002238,negative,0.944355905,2021_2.docx,negative
"Stablecoins are a type of ‘crypto’ (or ‘digital’) token that claim to maintain a stable value at all times, primarily in relation to existing national currencies. Their stability of value is what distinguishes them from other forms of crypto-assets which have proved too volatile for widespread use in payments. Their developers claim a number of benefits, such as increasing the speed and lowering the cost of domestic and international payments, and greater convenience through integration of stablecoin ‘wallets’ with other technology, such as social media platforms or online shopping services. If attractive to users, stablecoins could become widely used by households and businesses in the UK as a means of payment.",Financial Sector,0.711259127,positive,0.881160557,2020_2.docx,none
"Vulnerable euro-area countries refer to Ireland, Italy, Portugal and Spain. Data on Greece are not available.",Financial Sector,0.344383687,negative,0.926882863,2012_1.docx,none
"As highlighted in previous Reports, banks are exposed to sudden changes in market conditions through their funding activities. This is a particular concern given the scale of European banks’ financing needs over the next two years. For example, when euro-area sovereign concerns escalated in April 2010, UK and other European banks’ funding costs increased and the maturity of their wholesale financing shortened, especially in the dollar funding market.",Financial Sector,0.977351069,negative,0.974199951,2011_1.docx,negative
"Agencies could publish the expected loss distributions of structured products, to illustrate the tail risks around them.(2) Agencies have made significant efforts over the past few years to increase the transparency of their rating methodology for structured finance products, through publication of research reports describing their modelling methodology and their assumptions on correlations and recovery rates. But published distributions could provide a visual reminder of the fatter tails embedded in the loss distribution in structured products.",Financial Sector,0.973307014,negative,0.899879277,2007_2.docx,positive
"The FPC judges that risk premia and asset valuations remain vulnerable to a shift in risk appetite. An adjustment could be triggered by factors including a weakening of growth prospects, more persistent inflation or a further deterioration in geopolitical conditions.",Financial Sector,0.950362265,negative,0.980443835,2024_1.docx,negative
The UK banking system is well capitalised and has high levels of liquidity. It has the capacity to support households and businesses even if economic and financial conditions were to be substantially worse than expected.,Financial Sector,0.972790837,positive,0.860515416,2024_1.docx,positive
The challenge of weak profitability is also reflected in the baseline projection for profits in the 2019 ACS. Banks’ profits in the first year of baseline projections are broadly in line with underlying profitability experienced so far this year.,Financial Sector,0.956785798,negative,0.98303771,2019_2.docx,negative
"Nevertheless, sometimes an action taken by one of the policy committees may affect the appropriate decision of the other policy committee. For instance, if the MPC lowers Bank Rate or purchases assets in order to boost aggregate demand so as to prevent inflation falling below the target, it may also encourage more private borrowing and in some circumstances that could be associated with an increase in the risks to financial stability, requiring countervailing action by the FPC.(2) Similarly, the FPC may introduce measures to discourage excessive borrowing because of financial stability concerns, but in doing so that may reduce aggregate demand and lead inflation to undershoot the target, necessitating compensatory action by the MPC.(3) Because of these potential interactions, each committee is required to have regard for the actions of the other. Some overlap in membership, joint discussions and common briefing by Bank staff also helps to ensure joined-up decision-making.",Financial Sector,0.731954575,negative,0.922106624,2014_1.docx,negative
"Pressures on household finances will increase the risk that households default on debt, or sharply reduce their spending. Historically, some periods of household distress have resulted in significant losses for banks. For example, household finances were put under pressure by high levels of unemployment and interest rates in the early 1990s, resulting in material loss rates for banks. Loss rates on mortgages in this period peaked at 1.8% for UK banks and building societies, and up to 2.8% when taking into account losses incurred by the UK insurance industry on mortgage loans originated by banks and building societies.",Financial Sector,0.489968181,negative,0.975327432,2022_2.docx,negative
"Given the potential vulnerabilities and the global nature of asset management, the FPC supported the Financial Stability Board’s 2017 recommendation that funds’ assets and investment strategies should be consistent with their redemption terms. Subsequently, the International Organization of Securities Commissions updated its liquidity recommendations, including around appropriate fund design. However, these recommendations did not prescribe how this should be achieved.",Financial Sector,0.966293693,negative,0.894023776,2019_1.docx,positive
"As with households, most of the UK corporate sector is in a healthy financial position. The annualised corporate insolvency rate is at its lowest level since records began in 1975. Corporate profits have remained buoyant and returns on capital are historically high. Corporate liquidity is also high, providing an additional buffer against any tightening in credit conditions. Corporate sector capital leverage ratios look sound, although they are sensitive to the value of financial assets.",Financial Sector,0.93645215,positive,0.705867767,2007_2.docx,positive
"Stress scenarios built around a model: global imbalances For scenarios that are built around a model, there can be a high degree of uncertainty as to how and why the vulnerability crystallises. The disorderly unwinding of global imbalances is one example. The severe scenario describes a combined shock to the US exchange rate and property and equity prices, such that the US current account deficit shrinks to 3% of GDP over three years. Outlined below are three alternative ‘what if’ scenarios, which attempt to uncover the relative importance of the assumptions underlying the scenario.",Government,0.589354992,negative,0.981088877,2007_1.docx,negative
"Large losses might also result from UK banks’ commercial real estate (CRE) lending. The high LTV ratio of many of these loans, coupled with material refinancing needs, make these exposures susceptible to future losses.",Financial Sector,0.971671045,negative,0.977707267,2012_2.docx,negative
Vulnerabilities in the mainland China property market have continued to crystallise since the July 2023 FSR.,Financial Sector,0.680788517,negative,0.974595428,2023_2.docx,negative
"High public debt levels in major economies could have consequences for UK financial stability, especially if market perceptions for the path of public sector debt worsen. The FPC will take into account the potential for these to crystallise other financial vulnerabilities and amplify shocks when making its assessment of the overall risk environment.",Financial Sector,0.511300802,negative,0.974624515,2023_2.docx,negative
"Climate change poses risks to the financial system, both directly and via impacts on households and businesses, as well as through potential pressures on public finances. Climate-related risks are therefore relevant to the FPC’s financial stability objective.",Financial Sector,0.925484657,negative,0.962108076,2024_2.docx,none
"NCEMEs could still be vulnerable, however, to a sharp repricing of NCEME assets and sudden capital outflows in response to a deterioration of risk sentiment, for example as a result of a further escalation of geopolitical risks. Spillovers to the UK from NCEME distress are likely to be limited, however, they could affect exposures of some major UK banks, and have a wider impact on UK economic activity via lower demand for UK exports.",Financial Sector,0.972211361,negative,0.97834444,2023_2.docx,negative
"Medium-term risks could result from adverse developments in the global financial environment (Section 3.1), for example arising from a prolonged period of low interest rates. They may also arise from structural vulnerabilities (Section 3.2), such as fault lines in the regulatory framework and innovations in financial markets.",Financial Sector,0.977113664,negative,0.982543409,2013_1.docx,negative
"Reductions in assets that support the real economy are also less likely to improve banks’ resilience. For example, lower bank lending, in aggregate, could reduce economic activity and undermine borrowers’ financial strength which, in turn, could increase losses for banks.",Financial Sector,0.970338702,negative,0.983809352,2013_1.docx,negative
"Buy-to-let lending may be more vulnerable to rising interest rates than owner-occupied mortgage lending. Lending is typically interest-only, meaning that mortgage payments would rise proportionally more in the event of a rise in interest rates. Moreover, buy-to-let mortgage affordability is typically tested to a lower interest rate than for owner-occupied mortgages. Although payments on these mortgages can be supported by both rental incomes and borrowers’ own income, rental yields have fallen (reducing the rental income available to investors). And market contacts have suggested that landlords are unlikely to be able to offset fully the impact of higher interest payments by increasing rents.",Households,0.835923791,negative,0.92676264,2014_2.docx,negative
"Less uncertainty is attached to official numbers, such as outstanding government debt, or in markets that are continuously traded and valued, such as corporate equity markets. The size of the market for corporate debt may be underestimated, if issues are not syndicated and held to maturity. When securities are not continuously traded it can also be difficult to establish accurate valuations. For example, the value of some ABS related to US sub-prime mortgages may be overestimated because their value has fallen recently. And there is a lack of reliable data on corporate bond, loan and ABS markets outside of the United States and Europe.",Financial Sector,0.876421869,negative,0.960126162,2007_2.docx,negative
"Each year, the Bank would usually carry out a stress test of the banks that incorporates a single severe but plausible adverse scenario.",Financial Sector,0.969520569,negative,0.882799208,2020_1.docx,none
"As set out in Section 1, volatility in financial, energy, and broader commodity markets has increased recently and financial conditions have tightened. This reflects global factors including geopolitical events, inflationary pressures, deterioration in the macroeconomic outlook, and central banks tightening monetary policy.",Financial Sector,0.966110826,negative,0.973587036,2022_1.docx,negative
A reversal of yields could expose latent distress on banks’ balance sheets.,Financial Sector,0.9767344,negative,0.970903158,2010_2.docx,negative
